word,average_sentiment_score/sentence_count
secular,"(0.075372, 81)"
bill 21,"(-0.044924, 98)"
bill 101,"(0.071315, 41)"
immigra,"(0.063128, 734)"
religio,"(-0.016039, 452)"
tax,"(0.074721, 835)"
quebec,"(0.072169, 7545)"
canada,"(0.038982, 1966)"
trudeau,"(-0.002855, 442)"
legault,"(-0.018874, 700)"
nationalis,"(-0.007732, 226)"
soverei,"(0.089868, 282)"
french,"(0.099339, 4013)"
english,"(0.064861, 2330)"
covid,"(-0.043438, 1264)"
vaccine,"(0.001558, 1021)"
lockdown,"(-0.001954, 130)"
